"productId","language","packageName","version","referenceUrl"
"5","CSHARP","Google.Cloud.Language.V2","PREVIEW","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Language.V2/latest"
"5","CSHARP","Google.Cloud.Language.V1","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.Language.V1/latest"
"5","GO","language/apiv1beta2","PREVIEW","https://cloud.google.com/go/docs/reference/cloud.google.com/go/language/latest/apiv1beta2"
"5","GO","language/apiv1","STABLE","https://cloud.google.com/go/docs/reference/cloud.google.com/go/language/latest/apiv1"
"5","JAVA","google-cloud-language","STABLE","https://cloud.google.com/java/docs/reference/google-cloud-language/latest/overview"
"5","NODEJS","@google-cloud/language","STABLE","https://cloud.google.com/nodejs/docs/reference/language/latest"
"5","PHP","google/cloud-language","PREVIEW","https://cloud.google.com/php/docs/reference/cloud-language/latest"
"5","PYTHON","google-cloud-natural-language","BETA","https://googlecloudplatform.github.io/google-cloud-python/stable/language-usage.html"
"5","PYTHON","google-cloud-language","STABLE","https://cloud.google.com/python/docs/reference/language/latest"
"5","RUBY","google-cloud-language-v1","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-language-v1/latest"
"5","RUBY","google-cloud-language-v1beta2","PREVIEW","https://cloud.google.com/ruby/docs/reference/google-cloud-language-v1beta2/latest"
"5","RUBY","google-cloud-language","STABLE","https://cloud.google.com/ruby/docs/reference/google-cloud-language/latest"
"6","CPP","google-cloud-cpp::videointelligence::v1","STABLE","https://cloud.google.com/cpp/docs/reference/videointelligence/latest"
"6","CSHARP","Google.Cloud.VideoIntelligence.V1Beta1","ALPHA","https://github.com/GoogleCloudPlatform/google-cloud-dotnet"
"6","CSHARP","Google.Cloud.VideoIntelligence.V1Beta2","ALPHA","https://github.com/GoogleCloudPlatform/google-cloud-dotnet"
"6","CSHARP","Google.Cloud.VideoIntelligence.V1","STABLE","https://cloud.google.com/dotnet/docs/reference/Google.Cloud.VideoIntelligence.V1/latest"
"6","GO","videointelligence/apiv1p3beta1","PREVIEW","https://cloud.google.com/go/docs/reference/cloud.google.com/go/videointelligence/latest/apiv1p3beta1"
"6","GO","videointelligence/apiv1beta2","PREVIEW","https://cloud.google.com/go/docs/reference/cloud.google.com/go/videointelligence/latest/apiv1beta2"
"6","GO","videointelligence/apiv1","STABLE","https://cloud.google.com/go/docs/reference/cloud.google.com/go/videointelligence/latest/apiv1"
"6","JAVA","google-cloud-video-intelligence","STABLE","https://cloud.google.com/java/docs/reference/google-cloud-video-intelligence/latest/overview"
"6","NODEJS","@google-cloud/video-intelligence","STABLE","https://cloud.google.com/nodejs/docs/reference/video-intelligence/latest"
